Model,Color,Year,Form Factor,Screen Size,Processor,Memory,Storage,Working Status,Estimated Value,Condition,Acquired As,Physical Damage,Activation Lock,Original Box,Warranty,Year Acquired,Comments
PowerBook G3,Black,1998,Notebook,14,PowerPC G3,160MB,Unknown,Working,100,Excellent,Used,No,No,No,Expired,2011,
PowerBook G4 (titanium),Silver,2001,Notebook,15,PowerPC G4,Unknown ,None,Not Working,30,Fair,Used,No,No,No,Expired,2012,"Missing hard drive, various unknown issues"
PowerBook G4 (titanium),Silver,2001,Notebook,15,PowerPC G4,Unknown ,None,Not Working,30,Fair,Used,No,No,No,Expired,2012,"Missing hard drive, various unknown issues"
PowerBook G4 (titanium),Silver,2001,Notebook,15,PowerPC G4,500MB,60GB,Working,250,Good,Used,No,No,Yes,Expired,2019,
PowerBook G4 (titanium),Silver,2002,Notebook,15,PowerPC G4,Unknown ,None,Not Working,30,Poor,Used,Yes,No,No,Expired,2012,"Display loose, missing hard drive, bad LCD"
PowerBook G4 (titanium),Silver,2002,Notebook,15,PowerPC G4,Unknown,None,Working,75,Good,Used,No,No,No,Expired,2020,Display lines
PowerBook G4 (titanium),Silver,2002,Notebook,15,PowerPC G4,256MB,60GB,Working,150,Good,Used,No,No,No,Expired,2020,
PowerBook G4 (titanium),Silver,2002,Notebook,15,PowerPC G4,768MB,60GB,Working,150,Good,Used,No,No,No,Expired,2013,
PowerBook G4,Silver,2003,Notebook,12,PowerPC G4,Unknown ,Unknown,Working,40,Incomplete,Used,Yes,No,No,Expired,2012,"Missing keys, body damage around charging port"
PowerBook G4,Silver,2003,Notebook,12,PowerPC G4,1.25GB,120GB,Working,100,Good,Used,No,No,No,Expired,2021,
PowerBook G4,Silver,2005,Notebook,15,PowerPC G4,Unknown ,60GB,Working,50,Incomplete,Used,Yes,No,No,Expired,2012,Missing RAM door
PowerBook G4,Silver,2005,Notebook,15,PowerPC G4,Unknown ,100GB,Working,50,Good,Used,No,No,No,Expired,2019,
PowerBook G4,Silver,2005,Notebook,17,PowerPC G4,512MB,60GB,Working,175,Excellent,Used,No,No,Yes,Expired,2019,
Mac mini (PowerPC),Silver,2005,Desktop,,PowerPC G4,Unknown,Unknown,Working,25,Good,Used,No,No,No,Expired,2013,
iMac G4,White,2002,All-in-one,15,PowerPC G4,Unknown,Unknown,Working,125,Good,Used,No,No,No,Expired,2020,
iMac G4,White,2002,All-in-one,15,PowerPC G4,Unknown,Unknown,Working,125,Good,Used,No,No,No,Expired,2013,Located in storage
Power Mac G4 Cube,Graphite,2000,Desktop,,PowerPC G4,Unknown,120GB,Working,500,Good,Used,No,No,No,Expired ,2015,
Power Mac G4 Cube,Graphite,2000,Desktop,,PowerPC G4,Unknown,20GB,Working,500,Good,Used,No,No,No,Expired ,2020,
